"Cluster","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"LCMS-Aphid_api","api00250","Alanine, aspartate and glutamate metabolism - api",11,-0.698814514134827,-1.68063968913215,0.00546517539400102,0.00546517539400102,NA,32,"tags=36%, list=8%, signal=34%","C00064/C00438/C00152/C00940"
"LCMS-Aphid_api","api01100","Metabolic pathways - api",263,-0.396290758652744,-1.36331757524944,0.0188150520416333,0.0188150520416333,NA,139,"tags=41%, list=37%, signal=85%","C02730/C03590/C01096/C00082/C00061/C00262/C03150/C20313/C02763/C00669/C05122/C00197/C00389/C15556/C03557/C00545/C00931/C00380/C00624/C06563/C00544/C01352/C00286/C00026/C00655/C05239/C01693/C06311/C01146/C01468/C00178/C00979/C01888/C05619/C00101/C02376/C00035/C00062/C00424/C01102/C01234/C00097/C02947/C05516/C00392/C00279/C01181/C00079/C00300/C02700/C00847/C16675/C00365/C00637/C02937/C00647/C00020/C00093/C00245/C00519/C00148/C00004/C06376/C00141/C00144/C15563/C00002/C06427/C00431/C00439/C00214/C00128/C00131/C03175/C00078/C01035/C01879/C01087/C00366/C02356/C00005/C01674/C00064/C00242/C00106/C00408/C00118/C00170/C00077/C00157/C09099/C15801/C00127/C00570/C00438/C15809/C00956/C03684/C00295/C00152/C15532/C01596/C00099/C21016/C00940/C00183/C00065"
"LCMS-Aphid_api","api01230","Biosynthesis of amino acids - api",46,-0.463948173883992,-1.46591305692173,0.025039957378796,0.025039957378796,NA,98,"tags=39%, list=26%, signal=33%","C00979/C00062/C01102/C00097/C00279/C00079/C00148/C00141/C03175/C00078/C00064/C00118/C00077/C00956/C00152/C15532/C00183/C00065"
"LCMS-Aphid_api","api00230","Purine metabolism - api",23,-0.53561937450903,-1.51533406381266,0.0282271944922547,0.0282271944922547,NA,112,"tags=61%, list=30%, signal=46%","C00286/C00655/C05239/C22441/C00035/C05516/C00020/C00144/C00002/C00131/C06196/C00366/C00064/C00242"
"LCMS-Aphid_api","api00970","Aminoacyl-tRNA biosynthesis - api",17,-0.562366599474279,-1.49428875188385,0.0362681937485087,0.0362681937485087,NA,95,"tags=59%, list=25%, signal=46%","C00101/C00062/C00097/C00079/C00148/C00078/C00064/C00152/C00183/C00065"
"LCMS-Aphid_api","api00240","Pyrimidine metabolism - api",16,-0.564977874647703,-1.48093421521447,0.0388735106511012,0.0388735106511012,NA,99,"tags=56%, list=26%, signal=43%","C00178/C02376/C00365/C00214/C00064/C00106/C00438/C00295/C00099"
"LCMS-Aphid_api","api01232","Nucleotide metabolism - api",23,-0.513328026481621,-1.45226905794875,0.0470453241537579,0.0470453241537579,NA,120,"tags=65%, list=32%, signal=47%","C00380/C00286/C00655/C00178/C00035/C00365/C00020/C00144/C00002/C00214/C00131/C06196/C00064/C00242/C00106"
"LCMS-Aphid_api","api00480","Glutathione metabolism - api",10,-0.630055285827799,-1.47571511676797,0.0483641536273115,0.0483641536273115,NA,39,"tags=50%, list=10%, signal=46%","C00097/C01879/C00005/C00077/C00127"
"LCMS-Honeydew_api","api01240","Biosynthesis of cofactors - api",55,0.400126014424634,1.53726986668818,0.0165678674570603,0.0165678674570603,NA,98,"tags=42%, list=30%, signal=35%","C00493/C00078/C00082/C00019/C00199/C00029/C00051/C00864/C00156/C00322/C00075/C00158/C02700/C00931/C00061/C00064/C03684/C00130/C00015/C00127/C00097/C00544/C00328"
