"Gene","KEGG_ID"
"taes:123102103","taes:123102103"
"taes:123102428","taes:123102428"
"taes:123102614","taes:123102614"
"taes:123102769","taes:123102769"
"taes:123102835","taes:123102835"
"taes:123102902","taes:123102902"
"taes:123103025","taes:123103025"
"taes:123103511","taes:123103511"
"taes:123103576","taes:123103576"
"taes:123103623","taes:123103623"
"taes:123103709","taes:123103709"
"taes:123103887","taes:123103887"
"taes:123104030","taes:123104030"
"taes:123104335","taes:123104335"
"taes:123104574","taes:123104574"
"taes:123104909","taes:123104909"
"taes:123105658","taes:123105658"
"taes:123106492","taes:123106492"
"taes:123108104","taes:123108104"
"taes:123110113","taes:123110113"
"taes:123110114","taes:123110114"
"taes:123110244","taes:123110244"
"taes:123110593","taes:123110593"
"taes:123110798","taes:123110798"
"taes:123111000","taes:123111000"
"taes:123111014","taes:123111014"
"taes:123111064","taes:123111064"
"taes:123111195","taes:123111195"
"taes:123111728","taes:123111728"
"taes:123111780","taes:123111780"
"taes:123111836","taes:123111836"
"taes:123111930","taes:123111930"
"taes:123111970","taes:123111970"
"taes:123112116","taes:123112116"
"taes:123112261","taes:123112261"
"taes:123112619","taes:123112619"
"taes:123112845","taes:123112845"
"taes:123113040","taes:123113040"
"taes:123113200","taes:123113200"
"taes:123113336","taes:123113336"
"taes:123113959","taes:123113959"
"taes:123113978","taes:123113978"
"taes:123114079","taes:123114079"
"taes:123115023","taes:123115023"
"taes:123115324","taes:123115324"
"taes:123119121","taes:123119121"
"taes:123119125","taes:123119125"
"taes:123119176","taes:123119176"
"taes:123119286","taes:123119286"
"taes:123119629","taes:123119629"
"taes:123119796","taes:123119796"
"taes:123120002","taes:123120002"
"taes:123120043","taes:123120043"
"taes:123120057","taes:123120057"
"taes:123120278","taes:123120278"
"taes:123120752","taes:123120752"
"taes:123121283","taes:123121283"
"taes:123121343","taes:123121343"
"taes:123121400","taes:123121400"
"taes:123121487","taes:123121487"
"taes:123121538","taes:123121538"
"taes:123121647","taes:123121647"
"taes:123121778","taes:123121778"
"taes:123122107","taes:123122107"
"taes:123122343","taes:123122343"
"taes:123122721","taes:123122721"
"taes:123123478","taes:123123478"
"taes:123127623","taes:123127623"
"taes:123127820","taes:123127820"
"taes:123127862","taes:123127862"
"taes:123127923","taes:123127923"
"taes:123128178","taes:123128178"
"taes:123128273","taes:123128273"
"taes:123128418","taes:123128418"
"taes:123128958","taes:123128958"
"taes:123128986","taes:123128986"
"taes:123129788","taes:123129788"
"taes:123130957","taes:123130957"
"taes:123131653","taes:123131653"
"taes:123131987","taes:123131987"
"taes:123132210","taes:123132210"
"taes:123132411","taes:123132411"
"taes:123132518","taes:123132518"
"taes:123132569","taes:123132569"
"taes:123132578","taes:123132578"
"taes:123133190","taes:123133190"
"taes:123134859","taes:123134859"
"taes:123135779","taes:123135779"
"taes:123135793","taes:123135793"
