"","name","CleanNames","ShortAnnotation","Description"
"52","'ST 21:0;O4;Hex'","ST 21:0;O4;Hex","Sterol/Bile acid conjugates(In-silico)","MainClass=[Sterol/Bile acid conjugates(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Hexose conjugates(In-silico)],Mass=[514.314185],Formula=[C27H46O9]"
"53","'ST 21:0;O7;Hex'","ST 21:0;O7;Hex","Sterol/Bile acid conjugates(In-silico)","MainClass=[Sterol/Bile acid conjugates(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Hexose conjugates(In-silico)],Mass=[562.298930],Formula=[C27H46O12]"
"54","'ST 22:0;O3;Hex/ST 28:1;O8'","ST 22:0;O3;Hex | ST 28:1;O8","Sterol/Bile acid conjugates(In-silico) | Sterols/Bile acids(In-silico)","MainClass=[Sterol/Bile acid conjugates(In-silico) | Sterols/Bile acids(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Hexose conjugates(In-silico) | Sterols/C28 Bile acids(In-silico)],Mass=[512.334920],Formula=[C28H48O8]"
"55","'ST 22:0;O4;Hex'","ST 22:0;O4;Hex","Sterol/Bile acid conjugates(In-silico)","MainClass=[Sterol/Bile acid conjugates(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Hexose conjugates(In-silico)],Mass=[528.329835],Formula=[C28H48O9]"
"56","'ST 22:6;O5'","ST 22:6;O5","Sterols/Bile acids(In-silico)","MainClass=[Sterols/Bile acids(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Sterols/C22 Bile acids(In-silico)],Mass=[370.178025],Formula=[C22H26O5]"
"57","'ST 23:0;O3;Hex/ST 29:1;O8'","ST 23:0;O3;Hex | ST 29:1;O8","Sterol/Bile acid conjugates(In-silico) | Sterols/Bile acids(In-silico)","MainClass=[Sterol/Bile acid conjugates(In-silico) | Sterols/Bile acids(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Hexose conjugates(In-silico) | Sterols/C29 Bile acids(In-silico)],Mass=[526.350570],Formula=[C29H50O8]"
"58","'ST 23:0;O4;Hex'","ST 23:0;O4;Hex","Sterol/Bile acid conjugates(In-silico)","MainClass=[Sterol/Bile acid conjugates(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Hexose conjugates(In-silico)],Mass=[542.345485],Formula=[C29H50O9]"
"59","'ST 23:0;O8;Hex'","ST 23:0;O8;Hex","Sterol/Bile acid conjugates(In-silico)","MainClass=[Sterol/Bile acid conjugates(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Hexose conjugates(In-silico)],Mass=[606.325145],Formula=[C29H50O13]"
"60","'ST 23:1;O7;GlCA/ST 23:2;O8;Hex'","ST 23:1;O7;GlcA | ST 23:2;O8;Hex","Sterol/Bile acid conjugates(In-silico)","MainClass=[Sterol/Bile acid conjugates(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Glucuronic acid conjugates(In-silico) | Hexose conjugates(In-silico)],Mass=[602.293845],Formula=[C29H46O13]"
"61","'ST 24:0;O3;Hex/ST 30:1;O8'","ST 24:0;O3;Hex | NA","Sterol/Bile acid conjugates(In-silico) | NA","MainClass=[Sterol/Bile acid conjugates(In-silico) | NA],ExtendedClass=[Sterols | NA],FunctionalClass=[Hexose conjugates(In-silico) | NA],Mass=[540.366220 | NA],Formula=[C30H52O8 | NA]"
"62","'ST 24:0;O4;GlCA/ST 24:1;O5;Hex'","ST 24:0;O4;GlcA | ST 24:1;O5;Hex","Sterol/Bile acid conjugates(In-silico)","MainClass=[Sterol/Bile acid conjugates(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Glucuronic acid conjugates(In-silico) | Hexose conjugates(In-silico)],Mass=[570.340400],Formula=[C30H50O10]"
"63","'ST 24:0;O4;Hex'","ST 24:0;O4;Hex","Sterol/Bile acid conjugates(In-silico)","MainClass=[Sterol/Bile acid conjugates(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Hexose conjugates(In-silico)],Mass=[556.361135],Formula=[C30H52O9]"
"64","'ST 24:0;O5;Hex'","ST 24:0;O5;Hex","Sterol/Bile acid conjugates(In-silico)","MainClass=[Sterol/Bile acid conjugates(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Hexose conjugates(In-silico)],Mass=[572.356050],Formula=[C30H52O10]"
"65","'ST 25:0;O3;Hex'","ST 25:0;O3;Hex","Sterol/Bile acid conjugates(In-silico)","MainClass=[Sterol/Bile acid conjugates(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Hexose conjugates(In-silico)],Mass=[554.381870],Formula=[C31H54O8]"
"66","'ST 25:0;O4;Hex'","ST 25:0;O4;Hex","Sterol/Bile acid conjugates(In-silico)","MainClass=[Sterol/Bile acid conjugates(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Hexose conjugates(In-silico)],Mass=[570.376785],Formula=[C31H54O9]"
"67","'ST 25:0;O5;Hex'","ST 25:0;O5;Hex","Sterol/Bile acid conjugates(In-silico)","MainClass=[Sterol/Bile acid conjugates(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Hexose conjugates(In-silico)],Mass=[586.371700],Formula=[C31H54O10]"
"68","'ST 25:1;O8;GlCA'","ST 25:1;O8;GlcA","Sterol/Bile acid conjugates(In-silico)","MainClass=[Sterol/Bile acid conjugates(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Glucuronic acid conjugates(In-silico)],Mass=[646.320060],Formula=[C31H50O14]"
"69","'ST 25:6;O5'","ST 25:6;O5","Sterols/Bile acids(In-silico)","MainClass=[Sterols/Bile acids(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Sterols/C25 Bile acids(In-silico)],Mass=[412.224975],Formula=[C25H32O5]"
"70","'ST 25:7;O5;S'","ST 25:7;O5;S","Sterol/Bile acid conjugates(In-silico)","MainClass=[Sterol/Bile acid conjugates(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Sulfate conjugates(In-silico)],Mass=[490.166142],Formula=[C25H30O8S]"
