"","name","CleanNames","ShortAnnotation","Description"
"116","'LPG 13:1/LPG O-13:2;O'","LPG 13:1 | LPG O-13:2;O","Glycerophosphoglycerols | lysophosphatidylglycerol","MainClass=[Glycerophosphoglycerols | lysophosphatidylglycerol],ExtendedClass=[Sterols | lysophosphatidylglycerol],FunctionalClass=[lysophosphatidylglycerol],Mass=[440.217523 | 440.217519965],Formula=[C19H37O9P]"
"117","'LPG 16:1/LPG O-16:2;O'","LPG 16:1 | LPG O-16:2;O","Glycerophosphoglycerols | lysophosphatidylglycerol","MainClass=[Glycerophosphoglycerols | lysophosphatidylglycerol],ExtendedClass=[Sterols | lysophosphatidylglycerol],FunctionalClass=[lysophosphatidylglycerol],Mass=[482.264473 | 482.264470175],Formula=[C22H43O9P]"
"118","'NAE 10:2'","NAE 10:2","N-acyl ethanolamines","MainClass=[N-acyl ethanolamines],ExtendedClass=[N-acyl ethanolamines],FunctionalClass=[N-acyl ethanolamines],Mass=[211.157228995],Formula=[C12H21NO2]"
"119","'NAE 25:7;O4/ST 19:2;O;HexNAC/ST 25:3;O5;G'","NAE 25:7;O4 | ST 19:2;O;HexNAc | NA","N-acyl ethanolamines | Sterol/Bile acid conjugates(In-silico) | NA","MainClass=[N-acyl ethanolamines | Sterol/Bile acid conjugates(In-silico) | NA],ExtendedClass=[N-acyl ethanolamines | Sterols | NA],FunctionalClass=[N-acyl ethanolamines | N-acetylhexosamine conjugates(In-silico) | NA],Mass=[475.293388215 | 475.293389 | NA],Formula=[C27H41NO6 | NA]"
"120","'NAT 16:1'","NAT 16:1","N-acyl taurines","MainClass=[N-acyl taurines],ExtendedClass=[N-acyl taurines],FunctionalClass=[N-acyl taurines],Mass=[361.228679445],Formula=[C18H35NO4S]"
"121","'NAT 16:4'","NAT 16:4","N-acyl taurines","MainClass=[N-acyl taurines],ExtendedClass=[N-acyl taurines],FunctionalClass=[N-acyl taurines],Mass=[355.181729235],Formula=[C18H29NO4S]"
"122","'ST 18:0;O'","ST 18:0;O","Steroids","MainClass=[Steroids],ExtendedClass=[Sterols],FunctionalClass=[C18 Steroids],Mass=[262.229665],Formula=[C18H30O]"
"123","'ST 18:2;O6;G'","NA","NA","MainClass=[NA],ExtendedClass=[NA],FunctionalClass=[NA],Mass=[NA],Formula=[NA]"
"124","'ST 18:3;O;HexNAC/ST 24:4;O5;G'","ST 18:3;O;HexNAc | NA","Sterol/Bile acid conjugates(In-silico) | NA","MainClass=[Sterol/Bile acid conjugates(In-silico) | NA],ExtendedClass=[Sterols | NA],FunctionalClass=[N-acetylhexosamine conjugates(In-silico) | NA],Mass=[459.262089 | NA],Formula=[C26H37NO6 | NA]"
"125","'ST 19:3;O'","ST 19:3;O","Steroids","MainClass=[Steroids],ExtendedClass=[Sterols],FunctionalClass=[C19 Steroids],Mass=[270.198365],Formula=[C19H26O]"
"126","'ST 19:3;O2'","ST 19:3;O2","Steroids","MainClass=[Steroids],ExtendedClass=[Sterols],FunctionalClass=[C19 Steroids],Mass=[286.193280],Formula=[C19H26O2]"
"127","'ST 19:3;O8;G'","NA","NA","MainClass=[NA],ExtendedClass=[NA],FunctionalClass=[NA],Mass=[NA],Formula=[NA]"
"128","'ST 20:3;O2'","NA","NA","MainClass=[NA],ExtendedClass=[NA],FunctionalClass=[NA],Mass=[NA],Formula=[NA]"
"129","'ST 20:3;O3'","NA","NA","MainClass=[NA],ExtendedClass=[NA],FunctionalClass=[NA],Mass=[NA],Formula=[NA]"
"130","'ST 20:4;O3'","NA","NA","MainClass=[NA],ExtendedClass=[NA],FunctionalClass=[NA],Mass=[NA],Formula=[NA]"
"131","'ST 21:4;O;Hex/ST 27:5;O6'","ST 21:4;O;Hex | ST 27:5;O6","Sterol/Bile acid conjugates(In-silico) | Sterols/Bile acids(In-silico)","MainClass=[Sterol/Bile acid conjugates(In-silico) | Sterols/Bile acids(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Hexose conjugates(In-silico) | Sterols/C27 Bile acids(In-silico)],Mass=[458.266840],Formula=[C27H38O6]"
"132","'ST 22:1;O3;S'","ST 22:1;O3;S","Sterol/Bile acid conjugates(In-silico)","MainClass=[Sterol/Bile acid conjugates(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Sulfate conjugates(In-silico)],Mass=[428.223262],Formula=[C22H36O6S]"
"133","'ST 22:3;O'","ST 22:3;O","Sterols(In silico)","MainClass=[Sterols(In silico)],ExtendedClass=[Sterols],FunctionalClass=[Sterols(In silico)],Mass=[312.245315],Formula=[C22H32O]"
"134","'ST 22:4;O'","ST 22:4;O","Sterols(In silico)","MainClass=[Sterols(In silico)],ExtendedClass=[Sterols],FunctionalClass=[Sterols(In silico)],Mass=[310.229665],Formula=[C22H30O]"
"135","'ST 22:4;O2'","ST 22:4;O2","Sterols(In silico)","MainClass=[Sterols(In silico)],ExtendedClass=[Sterols],FunctionalClass=[Sterols(In silico)],Mass=[326.224580],Formula=[C22H30O2]"
"136","'ST 22:6;O4;S'","ST 22:6;O4;S","Sterol/Bile acid conjugates(In-silico)","MainClass=[Sterol/Bile acid conjugates(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Sulfate conjugates(In-silico)],Mass=[434.139927],Formula=[C22H26O7S]"
"137","'ST 23:4;O3'","ST 23:4;O3","Sterols/Bile acids(In-silico)","MainClass=[Sterols/Bile acids(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Sterols/C23 Bile acids(In-silico)],Mass=[356.235145],Formula=[C23H32O3]"
"138","'ST 23:4;O4'","ST 23:4;O4","Sterols/Bile acids(In-silico)","MainClass=[Sterols/Bile acids(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Sterols/C23 Bile acids(In-silico)],Mass=[372.230060],Formula=[C23H32O4]"
"139","'ST 23:6;O6;S'","ST 23:6;O6;S","Sterol/Bile acid conjugates(In-silico)","MainClass=[Sterol/Bile acid conjugates(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Sulfate conjugates(In-silico)],Mass=[480.145407],Formula=[C23H28O9S]"
"140","'ST 24:5;O4'","ST 24:5;O4","Sterols/Bile acids(In-silico)","MainClass=[Sterols/Bile acids(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Sterols/C24 Bile acids(In-silico)],Mass=[384.230060],Formula=[C24H32O4]"
"141","'ST 24:5;O5'","ST 24:5;O5","Sterols/Bile acids(In-silico)","MainClass=[Sterols/Bile acids(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Sterols/C24 Bile acids(In-silico)],Mass=[400.224975],Formula=[C24H32O5]"
"142","'ST 24:6;O4'","ST 24:6;O4","Sterols/Bile acids(In-silico)","MainClass=[Sterols/Bile acids(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Sterols/C24 Bile acids(In-silico)],Mass=[382.214410],Formula=[C24H30O4]"
"143","'ST 25:7;O2'","ST 25:7;O2","Sterols(In silico)","MainClass=[Sterols(In silico)],ExtendedClass=[Sterols],FunctionalClass=[Sterols(In silico)],Mass=[362.224580],Formula=[C25H30O2]"
"145","'ST 25:7;O8;S'","ST 25:7;O8;S","Sterol/Bile acid conjugates(In-silico)","MainClass=[Sterol/Bile acid conjugates(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Sulfate conjugates(In-silico)],Mass=[538.150887],Formula=[C25H30O11S]"
"146","'ST 27:4;O6;S'","ST 27:4;O6;S","Sterol/Bile acid conjugates(In-silico)","MainClass=[Sterol/Bile acid conjugates(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Sulfate conjugates(In-silico)],Mass=[540.239307],Formula=[C27H40O9S]"
"147","'ST 28:0;O3;Hex/TG 31:2;O2/TG O-31:3;O3'","ST 28:0;O3;Hex | TG 31:2;O2 | TG O-31:3;O3","Sterol/Bile acid conjugates(In-silico) | Triacyl alkylglycerides","MainClass=[Sterol/Bile acid conjugates(In-silico) | Triacyl alkylglycerides],ExtendedClass=[Sterols | Triacyl alkylglycerides],FunctionalClass=[Hexose conjugates(In-silico) | Triacyl alkylglycerides],Mass=[596.428820 | 596.42881914],Formula=[C34H60O8]"
"148","'TG 31:0;O2/TG O-31:1;O3'","TG 31:0;O2 | TG O-31:1;O3","Triacyl alkylglycerides","MainClass=[Triacyl alkylglycerides],ExtendedClass=[Triacyl alkylglycerides],FunctionalClass=[Triacyl alkylglycerides],Mass=[600.46011928],Formula=[C34H64O8]"
