"Cluster","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"LCMS-Aphid_api","api00240","Pyrimidine metabolism - api",16,-0.686465875619998,-1.98328202639546,0.000441271224742093,0.000441271224742093,NA,101,"tags=62%, list=27%, signal=48%","C00099/C00672/C00438/C00295/C00178/C00055/C00363/C00064/C00106/C01168"
"LCMS-Aphid_api","api00380","Tryptophan metabolism - api",15,0.64994889939033,1.7808974566809,0.00578358208955224,0.00578358208955224,NA,79,"tags=60%, list=21%, signal=49%","C00078/C00643/C01111/C01598/C00954/C03227/C02700/C00331/C00398"
"LCMS-Aphid_api","api00480","Glutathione metabolism - api",10,-0.67063883861573,-1.6842430245921,0.019140791152701,0.019140791152701,NA,62,"tags=40%, list=16%, signal=34%","C00669/C00051/C01879/C00077"
"LCMS-BuchHam_buc","buc01230","Biosynthesis of amino acids - buc",14,-0.57135912786085,-1.50810483937584,0.0496578067802005,0.0496578067802005,NA,13,"tags=43%, list=18%, signal=44%","C00082/C00279/C00135/C03175/C00152/C00064"
"LCMS-BuchHam_hde","hde01230","Biosynthesis of amino acids - hde",14,-0.57135912786085,-1.51598969543468,0.0461875684985126,0.0461875684985126,NA,13,"tags=43%, list=18%, signal=44%","C00082/C00279/C00135/C03175/C00152/C00064"
"LCMS-Honeydew_api","api00350","Tyrosine metabolism - api",13,0.601481276496987,1.82471742762541,0.00626118067978533,0.00626118067978533,NA,42,"tags=54%, list=13%, signal=49%","C01179/C03765/C03964/C00082/C00811/C00544/C00822"
"LCMS-Honeydew_api","api00970","Aminoacyl-tRNA biosynthesis - api",16,0.535110957618271,1.72624731940375,0.0109959158027019,0.0109959158027019,NA,88,"tags=69%, list=27%, signal=53%","C00078/C00123/C01005/C00082/C00079/C00407/C00065/C00097/C00064/C00183/C00148"
