"Cluster","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"LCMS-Aphid_api","api01200","Carbon metabolism - api",22,-0.507019504305106,-1.56824258253552,0.022947340496087,0.022947340496087,NA,134,"tags=68%, list=35%, signal=47%","C00042/C00022/C00988/C00204/C00122/C01005/C00118/C00197/C00279/C00101/C00026/C00049/C00158/C00447/C00149"
"LCMS-Aphid_api","api00770","Pantothenate and CoA biosynthesis - api",10,-0.598885859946694,-1.5068421957434,0.048358733880422,0.048358733880422,NA,35,"tags=40%, list=9%, signal=37%","C00831/C00864/C00049/C01134"
"LCMS-Honeydew_api","api01232","Nucleotide metabolism - api",28,0.503622321642744,1.94391914051528,0.00140147794751917,0.00140147794751917,NA,83,"tags=54%, list=26%, signal=44%","C00106/C00064/C00242/C00035/C00380/C00147/C00008/C00002/C00262/C00015/C00130/C00055/C00075/C00655/C00361"
"LCMS-Honeydew_api","api00630","Glyoxylate and dicarboxylate metabolism - api",11,-0.648307341818228,-1.61464755760509,0.0209401083613999,0.0209401083613999,NA,9,"tags=73%, list=3%, signal=73%","C00988/C00158/C00026/C00042/C01146/C00197/C01127/C00149"
"LCMS-Honeydew_api","api00230","Purine metabolism - api",20,0.469726955595117,1.65704577146553,0.0233091325945739,0.0233091325945739,NA,83,"tags=55%, list=26%, signal=44%","C00064/C00242/C00035/C00147/C00008/C00002/C00262/C05516/C00130/C00655/C00361"
"LCMS-Honeydew_api","api00310","Lysine degradation - api",12,-0.626514915683265,-1.59671988372969,0.0234578627280626,0.0234578627280626,NA,92,"tags=75%, list=29%, signal=56%","C01181/C00026/C00042/C00449/C00322/C00956/C03196/C00408/C00431"
