"Feature","View","Weight","AdjWeight"
"2-deoxy-D-glucose 6-phosphate","LCMS-Aphid",-0.851167261600494,-0.967921809915788
"nt-pentose-ring","LCMS-Aphid",-0.849021136760712,-0.965481301295518
"3-Methylhistidine","LCMS-Aphid",-0.848194360733032,-0.964541116463219
"(S)-malate","LCMS-Aphid",-0.837765753269196,-0.952682017709446
"L-dehydro-ascorbate","LCMS-Aphid",-0.827403903007507,-0.940898833238147
"UMP","LCMS-Aphid",-0.82458084821701,-0.937688540237484
"2-deoxy-alpha-D-ribose 1-ph...","LCMS-Aphid",-0.822841107845306,-0.935710159811765
"D-sedoheptulose","LCMS-Aphid",-0.815898716449738,-0.927815481118288
"67-dimethyl-8-(1-D-ribityl)...","LCMS-Aphid",-0.811021745204926,-0.92226953610002
"L-arginino-succinate","LCMS-Aphid",-0.78162282705307,-0.888837970588909
"2'-deoxyadenosine","LCMS-Aphid",0.77045726776123,0.876140832381129
"linoleate-group","LCMS-Aphid",-0.764873743057251,-0.869791416019622
"D-sedoheptulose 17-bisphosp...","LCMS-Aphid",-0.762935936450958,-0.867587800629031
"4'-methoxyisoflavan-2'47-triol","LCMS-Aphid",-0.749728858470917,-0.852569108770391
"citrate","LCMS-Aphid",-0.748922228813171,-0.851651833784052
"5-chloro-5-deoxyribose 1-ph...","LCMS-Aphid",-0.748096525669098,-0.850712869002721
"oleamide","LCMS-Aphid",-0.735816359519958,-0.836748233400088
"thymine","LCMS-Aphid",0.732739329338074,0.833249127222984
"N-acetyl-D-muramate","LCMS-Aphid",0.72750335931778,0.827294939594599
"(4-{4-[2-(gamma-L-glutamyla...","LCMS-Aphid",0.719418466091156,0.818101042181093
"5-methyl-tetrahydrofolate","LCMS-Aphid",-0.719403088092804,-0.818083554783881
"4-guanidinobutanoate","LCMS-Aphid",0.717027187347412,0.815381751914565
"D-alanyl-D-alanine","LCMS-Aphid",-0.71297013759613,-0.810768196958521
"(2S)-2-isopropyl-3-oxosucci...","LCMS-Aphid",-0.710543572902679,-0.808008780571258
"beta-D-ribosylnicotinate","LCMS-Aphid",-0.710126519203186,-0.807534519647633
"3-deoxy-alpha-D-manno-2-oct...","LCMS-Aphid",-0.706972539424896,-0.803947908703857
"N-acetyl-L-ornithine","LCMS-Aphid",-0.706616342067719,-0.803542851782379
"L-alpha-amino-epsilon-keto-...","LCMS-Aphid",-0.694175183773041,-0.789395140753891
"4-coumaryl alcohol","LCMS-Aphid",-0.692900955677032,-0.787946126887199
"itaconate","LCMS-Aphid",-0.690834701061249,-0.785596444283458
"(2S)-naringenin","LCMS-Aphid",-0.690540909767151,-0.78526235365997
"cis-coumarinic acid-beta-D-...","LCMS-Aphid",0.687619984149933,0.781940764898754
"4'-phosphopantetheine","LCMS-Aphid",-0.686600267887115,-0.780781174233988
"L-arabinono-14-lactone","LCMS-Aphid",-0.685700058937073,-0.779757483690969
"N-acetyl-L-glutamate","LCMS-Aphid",-0.685353338718414,-0.779363203886377
"3-dehydroquinate","LCMS-Aphid",-0.683841586112976,-0.777644084291424
"umbelliferone","LCMS-Aphid",-0.683485865592957,-0.77723956961482
"(-)-maackiain","LCMS-Aphid",-0.67734694480896,-0.770258573535386
